Columns,Description
Group,"INSOMNIA= 1, CONTROL=0"
SubGroup,"clean INSOMNIA= 2, subclinical INSOMNIA = 1, CONTROL = 0"
Remote,"Remote data collection = 1, In person data collection = 0"
Sex,"MALE = 1, FEMALE = 0"
Age,Years
American_Indian,race
Asian,race
Native_Hawaiian,race
Black,race
White,race
unknown_Race,race
Hispanic,ethnicity
NotHispanic,ethnicity
unknown_Etnicity,ethnicity
PDS_FEMALE,Pubertal Development Scale  for FEMALES
PDS_MALE,Pubertal Development Scale for MALES
ISI_total,ISI total (Insomnia severity index )
PSQI_total,PSQI total (Pittsburgh sleep quality index )
BDI_total,BDI-II Total Score (Becks Depression inventory)
ASHS_total,ASHS Total (Adolescent Sleep Hygiene Scale)
ASHS_physiological,ASHS - Physiological Domain (Adolescent Sleep Hygiene Scale)
ASHS_cognitive,ASHS - Cognitive Domain (Adolescent Sleep Hygiene Scale)
ASHS_emotional,ASHS - Emotional Domain (Adolescent Sleep Hygiene Scale)
ASHS_SleepEnvirnmont,ASHS - Sleep Environment (Adolescent Sleep Hygiene Scale)
ASHS_DaytimeSleep,ASHS - Daytime Sleep (Adolescent Sleep Hygiene Scale)
ASHS_substances,ASHS - Substances (Adolescent Sleep Hygiene Scale)
ASHS_bedtimeRoutine,ASHS - Bedtime Routine (Adolescent Sleep Hygiene Scale)
ASHS_sleepStability,ASHS - Sleep Stability (Adolescent Sleep Hygiene Scale)
ASHS_BedroomSharing,ASHS - Bed / Bedroom sharing (Adolescent Sleep Hygiene Scale)
DBAS_total,DBAS Total Score (Dysfunctional Beliefs and Attitudes about Sleep)
FIRST_total,FIRST Total Score (Ford insomnia Response to Stress Test)
GCTI_total,GCTI Total Score (The Glasgow Content of Thoughts Inventory)
GCTI_anxiety,GCTI Sleep Related Anxiety (The Glasgow Content of Thoughts Inventory)
GCTI_reflection,GCTI Reflection and Planning (The Glasgow Content of Thoughts Inventory)
GCTI_worries,GCTI General Worries (The Glasgow Content of Thoughts Inventory)
GCTI_thoughts,GCTI Thoughts About the Environment (The Glasgow Content of Thoughts Inventory)
GCTI_negativeAffect,GCTI Negative Affect (The Glasgow Content of Thoughts Inventory)
STAI_Y_total,STAI Y-2 Total Score (State-Trait Anxiety Inventory )
NEO_neuroticism,Neuroticism
NEO_extraversion,Extroversion
NEO_openness,Openness
NEO_agreeableness,Agreeableness
NEO_Conscientiousness,Conscientiousness
MEQr_total,MEQr Total (The Morningness-Eveningness Questionnaire )
PSRS_PrR,PSRS Prolonged Reactivity (PrR) (Perceived Stress Reactivity Scale)
PSRS_RWO,PSRS Reactivity to Work Overload (RWO) (Perceived Stress Reactivity Scale)
PSRS_RSC,PSRS Reactivity to Social Conflict (RSC) (Perceived Stress Reactivity Scale)
PSRS_FRa,PSRS Reactivity to Failure (RFa) (Perceived Stress Reactivity Scale)
PSRS_RSE,PSRS Reactivity to Social Evaluation (RSE) (Perceived Stress Reactivity Scale)
PSRS_total,Perceived Stress Reactivity Total Score (PSRS-tot)
PSS_total,PSS Total Score (Perceived stress scale)
